qa_review_id,call_id,agent_id,reviewer_id,scores,total_score,feedback,reviewed_at
1fac5028-e916-4e06-9301-baa2051b2513,f78ebc38-e801-4a7a-9f53-3df604619470,22b8d62c-0d8c-4b57-85c2-2e3ffa0d6f6c,6238acc2-b46c-41dc-acb0-51b850aaf1bc,"{""Opening & Introduction"": 4.3, ""Script Compliance"": 2.6, ""Product Knowledge"": 4.5, ""Objection Handling"": 2.6, ""Compliance Adherence"": 4.3, ""Closing Technique"": 3.9, ""Professionalism"": 2.4}",3.51,Each PM where new including education add though bring himself know some pattern.,2026-02-16T10:37:45.520325
4ca1b5fd-4d93-4371-9ba0-5cf040d34450,c85c276f-56ed-4a3c-b77d-cdf113b3fc2c,7dd479d0-e9e7-4c13-bd7a-996d9c940f82,6238acc2-b46c-41dc-acb0-51b850aaf1bc,"{""Opening & Introduction"": 1.4, ""Script Compliance"": 4.4, ""Product Knowledge"": 1.1, ""Objection Handling"": 2.9, ""Compliance Adherence"": 1.1, ""Closing Technique"": 1.9, ""Professionalism"": 4.4}",2.46,Example question whatever type lead senior you news word.,2026-05-17T18:38:40.520325
f4dd9b43-893c-4b1d-8ed6-bbcc5270f7d1,54e278f7-3f65-4dae-a64b-48b98beb35b2,dc3f2b18-ae07-4107-abe5-c873c437a8e0,f73a4bca-47e0-4bab-a858-731b6b99fb14,"{""Opening & Introduction"": 2.9, ""Script Compliance"": 2.9, ""Product Knowledge"": 3.7, ""Objection Handling"": 4.0, ""Compliance Adherence"": 3.2, ""Closing Technique"": 3.2, ""Professionalism"": 4.4}",3.47,Follow not control commercial say side find house discuss successful industry.,2026-06-04T00:48:48.520325
cccab310-8959-4941-92e7-42caa3bf54bf,048ac71c-985e-4717-a0eb-0fc8be3ed9db,22b8d62c-0d8c-4b57-85c2-2e3ffa0d6f6c,69d96983-fd25-4e39-97be-f9537ae067ad,"{""Opening & Introduction"": 1.4, ""Script Compliance"": 3.0, ""Product Knowledge"": 4.9, ""Objection Handling"": 3.5, ""Compliance Adherence"": 4.8, ""Closing Technique"": 1.0, ""Professionalism"": 3.6}",3.17,Something those center have minute back left leg agency other ability knowledge before general class require nearly Congress issue whatever between somebody.,2026-05-02T14:11:27.520325
c0e2d6ff-6d79-40ac-a0db-4c401e3076a2,7f240621-15bf-4241-8793-b63ef79b9d78,7b40e9e5-5980-4152-b08c-4117c8d014dc,539190da-0298-4314-ad69-2894660e1399,"{""Opening & Introduction"": 1.7, ""Script Compliance"": 2.1, ""Product Knowledge"": 5.0, ""Objection Handling"": 2.4, ""Compliance Adherence"": 1.5, ""Closing Technique"": 4.4, ""Professionalism"": 2.8}",2.84,Attack trade modern buy of major above hand behind blood born job.,2026-07-06T14:42:15.520325
d2d932ec-2f51-4371-9cb3-d817261042aa,75c5b7a6-9708-4b71-9047-350797986b63,533a1b8c-2242-4162-8b4d-ebdce39f7a0a,6238acc2-b46c-41dc-acb0-51b850aaf1bc,"{""Opening & Introduction"": 5.0, ""Script Compliance"": 4.2, ""Product Knowledge"": 1.4, ""Objection Handling"": 4.2, ""Compliance Adherence"": 1.3, ""Closing Technique"": 1.2, ""Professionalism"": 1.9}",2.74,He nearly bank open fine see real like region behind new and anyone yeah fund door movement space page democratic natural heart wall meet old tonight sound everybody which financial apply benefit method collection senior class approach necessary.,2026-05-03T18:21:10.520325
6155cad6-ec4d-4d4f-ab75-57e45e2cf6a4,3cd7dc4f-1c7c-4b61-9a5c-eaa20026db1e,533a1b8c-2242-4162-8b4d-ebdce39f7a0a,539190da-0298-4314-ad69-2894660e1399,"{""Opening & Introduction"": 4.9, ""Script Compliance"": 1.2, ""Product Knowledge"": 4.5, ""Objection Handling"": 1.9, ""Compliance Adherence"": 1.9, ""Closing Technique"": 4.7, ""Professionalism"": 4.2}",3.33,Far camera unit without career watch arrive become everything would pressure room under team security at wind what officer report red pull save same camera plant without everybody research chance system candidate keep grow us receive billion health.,2026-06-26T22:12:01.520325
3464eac6-d391-4318-9b6a-ec3f99054240,2b7d184a-4780-45cb-b3d7-c05b2acfb878,283e7eb4-1af3-4954-98a5-25201c2aeadd,6238acc2-b46c-41dc-acb0-51b850aaf1bc,"{""Opening & Introduction"": 3.5, ""Script Compliance"": 2.1, ""Product Knowledge"": 2.5, ""Objection Handling"": 2.7, ""Compliance Adherence"": 2.6, ""Closing Technique"": 3.2, ""Professionalism"": 2.3}",2.7,Among since candidate behavior friend another effect culture radio station general soldier discuss stock lead green total benefit Mr car audience age class.,2026-02-15T19:47:33.520325
ad0359ba-e36a-41ff-a26d-d6c94c1ab0c6,4c7e6549-ec5c-4b91-9a64-948a9714367c,def78ae6-f80a-4f35-bac2-c8276cf9101f,29133348-585d-473a-91e7-157e28071835,"{""Opening & Introduction"": 2.6, ""Script Compliance"": 1.8, ""Product Knowledge"": 4.7, ""Objection Handling"": 3.6, ""Compliance Adherence"": 4.7, ""Closing Technique"": 1.9, ""Professionalism"": 4.9}",3.46,Bed radio spend within available fear tend American war old what design want ahead easy whole.,2026-02-18T12:36:46.520325
404d37c4-7be9-4778-b9a7-2d85b9dce1e9,48723c30-b350-4cc4-8be4-d117fa1d709f,01eb6f7a-a7d7-40ca-bb39-d438ff4f6b06,4edfafe9-c78b-4c2a-87bb-8cc387cbe8d4,"{""Opening & Introduction"": 1.5, ""Script Compliance"": 2.7, ""Product Knowledge"": 4.2, ""Objection Handling"": 3.6, ""Compliance Adherence"": 2.4, ""Closing Technique"": 1.2, ""Professionalism"": 4.8}",2.91,Start at hit class nothing soon data budget main may happen newspaper happy subject success traditional leave send through himself red upon base mention.,2026-02-19T08:36:58.520325
