arrangement_id,call_id,lead_id,original_balance,settlement_amount,settlement_pct,payment_schedule,payment_method,verbal_confirmation,confirmation_email_sent,debt_type,original_creditor,sol_expired,created_at
160de5ac-fcdf-4305-a7f2-bae9d0b1264d,9fdf8fea-864a-4ba6-a9ef-58902ec81d55,fce6646d-7c96-414a-8c3f-d21a0b971a3c,46254.35,34712.9,0.7505,Lump Sum,Money Order,True,True,Credit Card,Wells Fargo,True,2026-06-30T12:58:06.520325
472eb158-bd2c-4ac6-8d38-7510680bdd8f,60f048be-cdfd-4a32-a373-9a63e6cacbd0,0566dbef-ebe5-4f6d-9f95-deb7bbd056d6,4964.81,4350.36,0.8762,12 Payments,Check,True,True,Credit Card,LVNV Funding,True,2026-06-10T23:50:42.520325
aea7830a-3b56-4412-a321-4c0e2257440e,d7a339d3-0c4b-446a-b00a-25fb340ba546,68aa28ae-71c8-4b37-8115-35449de2e99f,27520.0,11861.15,0.431,2 Payments,ACH,True,True,Mortgage Deficiency,Navient Student Loans,False,2026-06-07T15:12:47.520325
de236c34-b1b1-44e3-b571-64d9f5ebcf8b,0c29b04b-c0da-4434-b30d-829da07835f0,6cc5d7fd-3c21-405d-8df4-d570e99c44a7,33603.6,27664.78,0.8233,Lump Sum,Check,True,True,Mortgage Deficiency,Bank of America,False,2026-07-16T18:05:55.520325
3c2d02b1-03c3-45d0-a510-a5645e389a8a,5286f86f-6b6c-4dfe-9625-5a1190493b85,94cde357-6ad9-475f-8e8b-c2a292b684a8,24264.7,14952.33,0.6162,24 Payments,Check,True,True,Auto Loan,Wells Fargo,False,2026-03-22T03:51:48.520325
d90b6a62-8099-461d-aa64-9b5a25b1ab35,285fd69d-2ee1-4bf9-a29e-fc828d9b80bb,a11c6b4d-5280-4e6a-8159-cfd69fbe2f72,34683.52,23022.5,0.6638,Lump Sum,ACH,True,True,Payday Loan,Bank of America,True,2026-03-28T09:44:01.520325
3c080e2d-49b3-48aa-8e0e-88114a41ac18,2abee2f7-1888-479f-97e8-6d7b18fb81f3,f6b6d1d5-c71d-4d7a-9398-dc3432f1ccbe,39580.41,17175.71,0.4339,2 Payments,Credit Card,True,True,Mortgage Deficiency,Midland Credit,False,2026-07-13T08:46:05.520325
fd306ee2-a684-43b7-86ce-ed6b2d9a66f7,4feb1aa2-ae18-4ed4-96b2-e8afb9105e44,762ca4fb-1cc6-4d95-8c73-cdb1ab32d1df,15231.3,8828.15,0.5796,Lump Sum,ACH,True,True,Personal Loan,LVNV Funding,False,2026-02-04T18:31:31.520325
c265e470-ab23-4a50-83c7-bc289459094c,c332bac5-09ef-4bd2-b5fd-8828501e77cf,9d602464-8909-4806-97bf-7fe75632fa7f,26242.61,22653.05,0.8632,2 Payments,Credit Card,True,True,Personal Loan,Sallie Mae,True,2026-06-21T09:00:25.520325
8b84c4df-a66b-4a20-85fb-9ff54ef1b73b,69e465de-7909-4a23-b7b3-bb482d140c65,480658dd-7b8f-41bf-917e-8a4ae47030c0,30101.23,23503.31,0.7808,2 Payments,Check,True,True,Auto Loan,Synchrony Bank,False,2026-03-24T00:53:36.520325
d8e223e6-e352-4674-9722-c656eb826897,c3dbd88b-f9fe-4c7c-bb6d-56ef0ed8063c,f6b6d1d5-c71d-4d7a-9398-dc3432f1ccbe,39580.41,17267.08,0.4363,3 Payments,Money Order,True,True,Mortgage Deficiency,Midland Credit,False,2026-06-14T11:23:18.520325
379e3843-3f66-45df-be59-df73ecdb3861,7030ab08-0bf0-4f6e-a750-43859e24f7ed,c9cfa981-b32f-4cfa-b786-90c7991877e8,8833.27,5361.74,0.607,24 Payments,Money Order,True,True,Personal Loan,Citibank,True,2026-07-16T09:46:35.520325
ab85565e-e2b6-46fe-9248-d1cdcee081d5,cf2e6300-e105-4f49-8539-90e87baefc0e,43a4726b-8993-46c6-a52a-360d764c08e2,25459.0,17845.51,0.701,Lump Sum,ACH,True,True,Payday Loan,Portfolio Recovery Associates,False,2026-01-23T22:58:13.520325
9b21935f-d610-4c01-914e-90fcba038813,c4da7c08-7b94-4616-9848-cdf1e88eec2d,877620d0-6d7a-4210-9e52-1ee7a63d291f,4159.79,1665.26,0.4003,6 Payments,Credit Card,True,True,Medical Debt,Portfolio Recovery Associates,True,2026-05-24T20:12:14.520325
73d75c7c-eb24-4ab2-a535-f11c5e64b9b9,f15c6afb-57a3-40f8-b451-9ed795f2086e,d4cb2a55-1def-41b0-9098-41934dac35a1,2800.33,1919.61,0.6855,24 Payments,Debit Card,True,True,Personal Loan,Capital One,False,2026-01-31T02:09:55.520325
291f69a6-8c86-4974-9f31-b423ba67ad9a,8b866e9a-4838-49fd-99d7-a8ca4eb39e35,75d23ab0-7c3d-47c0-8952-86b4d51a5e71,2495.97,1086.29,0.4352,6 Payments,Credit Card,True,True,Student Loan,Citibank,True,2026-03-02T10:31:50.520325
0bfc51dc-ae19-4b93-8748-e86a0c095a94,7c22e23b-eb35-4507-975d-d8b3961e2ea1,5fde2da7-a403-4c57-88c0-96d3abb26bb4,1476.32,909.22,0.6159,6 Payments,ACH,True,True,Medical Debt,Bank of America,False,2026-05-16T11:42:21.520325
883110b5-1b44-49bc-898c-accd5178aad0,fa2f78cb-6377-48c6-9c76-007e20b51064,69bd8c9d-82ab-47eb-b3c0-c1eb9b964d79,27380.66,15662.76,0.572,3 Payments,ACH,True,True,Credit Card,Synchrony Bank,True,2026-05-05T23:17:42.520325
b867b506-a691-41f4-bf41-956412efe5cb,83419af7-9b90-47fc-9c58-26a9ed62ff64,c08c9a71-ed9d-46c7-90a3-0c9673096983,41542.52,24915.42,0.5998,24 Payments,Money Order,True,True,Medical Debt,Discover Financial,True,2026-07-07T20:15:47.520325
c8affc53-0fee-489b-8ea8-d2ae8e91cb90,5baf6928-164e-4de4-ba2a-f68a25ca363b,75d23ab0-7c3d-47c0-8952-86b4d51a5e71,2495.97,1034.82,0.4146,6 Payments,Money Order,True,True,Student Loan,Citibank,True,2026-03-30T19:13:54.520325
57a87bcb-1c25-4cbb-8c46-95d37a97d099,98b7bbf8-dcf0-467b-a1e4-53df3e57b63b,b1df8cc0-f651-47c3-bf46-a581fd51064a,11610.95,8300.86,0.7149,24 Payments,ACH,True,True,Mortgage Deficiency,Synchrony Bank,True,2026-04-15T04:38:55.520325
